,tweet
1042,मंसिर ४ पछी अनुहार पनि कतै देख्न नपरोस
1043,सबै नकुहिने फोहोर हरू यहाँ समेट्न सकिएन २४ दर्जन छुटेकै हुन है यहाँ
1044,गगन थापाको मुभ हो। आफ्नो पार्टिमा सेर बादुरलाइ हल्लाउन नसक्नेले अरुका बिरुद्ध सगोलमा बिष बमन गरेर काम छैन। मुटु कलेजो डाक्टर लगायत सूक्ष्म परिचालित हरु सुर्ये थापा मार्का भन्दा फरक हैन रैछन।
1045,मंसिर ४ गते बुढाहरुबाट छुटकारा पाउन पर्छ।
1046,माने ससम्मान नमाने घोक्रे ठ्याक लगाएर निकालौँ न हैयिनी हरू लाई अब। सबै ले यो अभियान लाई आगो जसरी फैलाऔँ न हुन्न
1047,माने ससम्मान नमाने घोक्रे ठ्याक लगाएर निकालौँ न है अब हुन्न
1048,माने ससम्मान नमाने घोक्रे ठ्याक लगाएर निकालौँ न है अब यि बुडा हरू ले देश नागरिकता श्रम जवानी पानी खोला नाला सबै बेचेर सक्ने भए। अब सबै ले यो अभियान लाई आगो जसरी फैलाऔँ न। हुन्न
1049,भस्मासुर प्रचण्ड नेपालका मुख्य क्यान्सर त्यसै भन्दिन म । पहिला एमाले सक्कायो अहिले काँग्रेस सक्काउँदै छ । जबसम्म प्रचण्ड सकिन्न तब सम्म नेपालको विकासको अवरोध सकिन्न ।
1050,गाडी दुर्घटना भए ड्राइभर पिट्छौ बिरामी तलमाथि भए डाक्टर पिट्छौ देश बर्बाद पार्न लागे भने नेता किन पिट्दैनौ
1051,यी सबै अध्यक्ष चाहिने जिन हुन् छ सदस्यीय अध्यक्ष मण्डल बनाए केही बेर त मिल्लान् फेरि चुनाव पछि अपुतालिमा प्रधानमन्त्री आईलाग्यो भने को हुने भनेरै लडाइँ हुन्छ।
1052,चुनावी षडयन्त्रमा एमाले जत्तिको माहिर कोही हुन्न।विद्या भण्डारीको सेतोसारीमा आफैंले रातभरि रंग र गोबर पोतेर कांग्रेसले गर्यो भन्दै भांडभैलो मच्चाएर सहानुभूति भोटल्याई चुनाव जिताएका हौं भन्ने निर्लज्ज मान्छे हुन् यी स्थापित।अव यिनका जातीय कुरा समाजले सुन्दैन।बालेनले नै जित्नुपर्छ।
1053,नेकपा काङ्ग्रेसका सभापति तथा प्रधानमन्त्रिका जागिरे श्रि कामरेड देउ बा कै घरमा १६ जना हलिया छन् तर अझै लालपुर्जा पाउन सकेका छैनन् के हो यो खाङ्ग्रेसी भाईबैनी हो कामरेड फण्डित श्रि अर्को जनआन्दोलन आवश्यक परेन अब
1054,आरजू देउवा घरबाट ननिस्केको कती भो अंझैपनी रांणाहरूकै शासन छ भन्ने भ्रम परे जस्तो छ।
1055,एमाले निच निकृष्ट अहंकारी स्वार्थी झुटा आदी
1056,तोरी मुला पत्रकारको नामको कलंकमेयर भएसी सोधकाम गर्नेले गफ कम गर्छन् भुक्ने त एमाले कांग्रेसका छन् त
1057,नेपाली कांग्रेसबाट टिकट नपाए पछि बागी उठेका सुनसरी जिल्लाको रामधुनीनगरपालिका वडा नम्बर ८ को वडाध्यक्ष उम्मेदवार गणेशबहादुर पौडेललाई काङ्ग्रेस नेताले बारम्बार धम्की दिएका कारण झुन्डिएर आत्महत्या गरेका छन् धनराज गुरुङ् गगन थापा र विश्वप्रकाश शर्मा यही हो तपाईंहरुको टिउसन
1058,उहिले आफ्नै घरमा सुते माओवादीले मर्छन भनेर कहिले जिप्रका भित्र कहिले ब्यारेक भित्र सुत्न जाने अंकलले पनि रेणु दाहाललाई भोट् माग्दै हिंड्नु भएछ। सोचे झै राइनछ जिन्नगी।
1059,चुनावमा मात्रै हेटौंडा सम्झने दिपक सिंह देखाएर गठबन्धनलाई तर्साउन खोज्ने एमालेको रणनिति हो । होसियार एमाले देखि सावधान ।।
1060,गठबन्धन टुट्यो भने कांग्रेस पनि खत्तम हुन्छ देउवा via
1061,एमाले हुनु भा छ खुम बहादुर को पछि लागेर काठमाण्डौ छिरेको हो अनि रेडियो नेपाल को जागिरे भा को हो नत्र तन्नेरी केटो भन्दै तुलसीपुर तिर गीत गाउँदै हुनु हुन्थियो कमल थापा को पछि लागेर राजनीति सुरू भा हो। अहिले चर्को एमाले केपि बाँच्दा सम्म त होला त्यसपछी कता कमरेड
1062,चितवनकाे सभा पछि साँझ घर फर्किएर प्रचण्ड त हाँसेर मुर्छा नै पर्छ कि क्या हाे जति धाेका दिए पनि सधै मुर्गा हुन आउने काङ्ग्रेस सभापति देखेर
1063,गाँसेगुँसे एकै नासे कोही भन्दा कोही कम छैनन्। कांग्रेसले २५ भन्दा सरकारी कलकारखाना बेचेर खाएकै हो। एमाले सरकारले भ्रष्टहरूलाई पालेकै हो। एकैसिक्का घिनलाग्दा दुई पाटाहरू
1064,राभ्रपा एमाले राष्ट्रिय भ्रष्टाचारी पार्टीएमाले लाई यस मुलुकबाट यसै बर्ष उन्मुलन गर्नुपर्छ
1065,ओइ जिमु ढुङ्गाना नेपाल तेरो वाउ को हो भने तेरो वाउ विदेश बस्ने सब नेपाली। साले मगन्ते पत्रकार नेपाल को पत्रकारीता कसरी चल्छ भन्ने हामी लाई थाहा छैन र।
1066,चितवनमा छोरिलाइ मिल्ने भए प्रचण्ड आफू आजिवन अध्यक्ष भए जस्तै आजिवन मेयर बनाउन मतपत्र टोक्न च्यात्न नमिल्ने हुदा पनि नकल्ली मतपत्र बनाएर मतपेटिका नै बदल्ने गोप्य तरिकाले तयारी पूरा गरिसके होला छोरीले त हार्नै हुदैन अह हुदैन
1067,गठबन्धन भनेको राजनीतिक सिन्डिगेट हो। राष्ट्रको ढुकुटी लुट्न गठबन्धन गरिएको प्रष्ट छ। गठबन्धनमा नातावाद हेर्नुहोस् त। प्रचण्डको नातागोता हेर्नुहोस् सरकारी सुबिधा लिने कति छन्। सिन्डिगेट टोडौ। नेकपा एमालेको मा भोट हालौ।
1068,भाउजूले पैसो दिन्न भनेपछि सब जनता डराएर काँग्रेसमा भोट हाल्दैनन् र
1069,हिजो जगन्नाथ पौडेल उठ्दा प्रचन्न देउवाले धम्काए तर जगन्नाथ नडराएर एकदमै ठिक गरे उनिले उम्मेद्बारी फिर्ता नलिएर भन्ने मुजिहरु ऐले प्रचन्नले नै एमालेको भोट काट्न उठाएको भन्दै रहेछन हरे मुजिहरिको जुनि
1070,शेर बहादुर देउवा खड्ग ओली प्रचण्ड माधव नेपाल बाबुराम भट्टराई उपेन्द्र राजेन्द्र महतोहरु सुध्रिने वाला छैन। उहाँहरूको घमण्डले आँखा छोपी सक्यो। अब सुध्रिने जनता आफै हुन। सुख चाहने या दुख पाई पाई मर्ने निर्णय तपाईंकै हातमा छ।
1071,नेपाली गधा हरुलाई धेरै धेरै शुभामना
1072,निर्वाचन आयोगले भोलिदेखि मतपत्र ढुवानी गर्ने रेअन्यत्र त खाली मतपत्र नै जालान् तर भरतपुरमा चाहिँ रेनुलाई जिताउन पहिले नै छाप ठोकिएका मतपत्र लगेर नतिजा घोषणा गर्न मात्रै बाँकी राख्ने त होला निप्रचण्डलाई जसरी पनि छोरी जिताउनु छ।छोरीले जितेपछि प्रचण्ड सबैथोक छोड्न पनि तयार छन्।
1073,यो तस्कारको मतियारको जिवन पनि देउवा र प्रचण्डलाइ गाली गर्दै र तस्कारको नाइकेको ला मोल्दै जाने भयो
1074,देखिस् कांग्रेस एमाले जनताले भोट काँ हाले भन्दै बालेनको पक्षमा नारा
1075,मिथिलामा एमाले विवाद उत्कर्षमा बैठकमै रघुवीर महासेठलाई हुलहुज्जत
1076,माउवादी लाई भोट नहालौ देश बचाऊ
1077,धम्की आएपछि बेचैन बनेका कांग्रेसका बागी वडाध्यक्ष उम्मेदवार झुन्डिएको अवस्थामा फेला कथित लोकतान्त्रिक पार्टीले ठगबन्धन बचाउन आफ्नै मारेछ। दुखद
1078,यहि तरिकाले त यो स्थानिय निर्वाचनको अन्तिम नतिजा आउदा सम्म अर्को स्थानीय निर्वाचन गर्ने बेला हुन्छ। सपथ ग्रहण गरेर सिधै चुनाव प्रचारमा।
1079,काङ्ग्रेस को रुख लाई माओवादीको हस्याले काटेर एमाले को घाम मा सुकाएर बालेन ले लौरो बनाएर देश भरका बृद्धहरुलाई टेकाउने र भ्रष्टाचारी नेताहरु लाई सेकाउने गर्छन जस्तो देखिदैछ त काठमाडौं मा
1080,मन्त्रीले फालेको हड्डी लुछ्न लाई आतुर एकले अर्काको टाउको मा किच्दै नेपाली भेडा आम नागरिक देखि लिएर पार्टीका झोले कार्यकर्ता हरु।
1081,स्थापितले म सँग स्तरिय रात बिताउ भन्नु सहि हो नमान्दा प्रतिसोध साध्नु ठीक हो एमालेमा बलात्कारमहिला दुराचार जायज र नारी मुक्तिकै अभिन्न अङ्ग हो आफ्नै आमा छोरी बुहारी श्रीमतीहरुलाई स्थापित या एमाले नेताले सँगै रात बिताउ भनेको भए पनि यसरी नै बचाउ हुन्थ्यो
1082,दिल्लीलाई अनुरोध गरेर नाकाबन्दी लगाउन लागाउने लिपियाधुरामा पक्की बाटो बनाउन दिएर गुन तिर्ने सगरमाथा चाइनालाई बेचेको र अहिले सगरमाथाको चुचुरोमा चाइनाले नेपाल तिर जासुसी गर्ने क्यामरा जडित मेसिन राखेको जस्ता राष्ट्रघात एमाले ओली र सुर्य लाई भोट् दिदा भएको पनि नभुलौ
1083,लौन आरजु भाउजुलाइ कसैले भन्द्याओ कि कांग्रेसको मेयर नभएको ठाउमा पैसा पठाउदिन भन्नलाइ देउवा दाइको बिर्ता हैन देशको ढुकुटी भाउजू अलि नशामा छिन आजकल अन्यथा नलिम
1084,देउवाकाे बाेलेकाे पनि नबुझिने बुद्ध धर्मको प्रार्थना नि नबुझिने भएकाले देउवा तटस्थ बसेकि क्या हाे
1085,अहिलेसम्मको चुनावी नतिजा हेर्दा नेकपा एमाले अब नेकपा हिमाली लेकाली हुन खोजेको र टार तथा बेंसीतिर पानी लागेर खुइलिन थालेको जस्तो पो देखियो त ।
1086,शंकर भण्डारीका लागि त शेरबहादुरआरजु देउवा पनि प्राकृतिक स्रोत होलान्
1087,एमाले र माओवादी कार्यकर्ताको झडप भएको रुकुमपूर्वमा एक जनाको शव फेला पर्यो
1088,जी म नभए विद्यासुन्दरले फोहोर पनि उठाउन सक्दैन भन्ने तपाईं एमाले नै हो यि हेर्नोस् तपाईंजस्तो उडन्ते र गजडी गफ दिएकीछैनन् सृजनाले सभ्यहुन सिक्नोस्
1089,बझाङकाे सुर्मा गाउँपालिकामा कांग्रेस र एमाले कार्यकर्ताबीच झडप
1090,काँग्रेसमा एमालेको अध्यक्षलाई गाली गरेर चर्चामा आईन्छ भन्ने मान्यता देखियाेः एमाले उपसचिव रिमाल
1091,नेपाली जनतालाई धम्काएर रेनुले चुनाब जित्ने भए काम नगरी घर बसे भैगो नि चितवन का जनता मुर्ख छैनन् । पावर पैसा मिडिया प्रशासन सबै लगाउने भए तपाईंकि छोरीले ५बर्ष मा के काम गरिन त प्रचण्ड सर किन धम्की को भासा बोल्नु पर्यो। यो भनाइ ले चितवनमा चुनाब हार्दै हुनुहुन्छ ख्याल रहोस।
1092,मानुसी र प्रियंकाले गर्भवती भएको बेला पेट देखाउँदा तपाईंलाई त्यो कुरा मन परेन तपाईंले त्यो बेला पुरातन सोच देखाउनु भयो त्यस्तै सोच भएका अधिकृत रैछ्न दिदी । सासु छन भन्ने बित्तिकै सिन्दुर खोज्ने साँच्चै सासुमा पटक्कै आँखा नदेख्ने कि तपाईंले माकेलाई भोट हाल्ने तिगडम हो दिदी
1093,कम्युनिस्ट भनेको ए मा ले ए मा ले भन्या सुर्य दम भएको नि एमाले जित्ने नि एमाले सत्य सत्य नै हुन्छ जति लुकाए नि फुत्की हाल्छ के को सरि
1094,बिजय सराबगी को बिजोग । जसपा को शेर एमाले आएसी बिरगंज बासिले बिरालो बनाईदिए
1095,याे चुनावमा हार्ने पर्ने केही व्यक्तिहरू ।। शेर ब देउवा प्रचण्डमाधव नेपालआर्जु देउवारेणु दाहलगगन थापाजनार्दन शर्मा बांकि अर्काे ट्विटमा।।।
1096,दरबारले छोडेपछि सकियो को राजनीति एमाले पसे हुन्छ सर जनता अच्चमित हुँदैनन् ।
1097,एकीकृत समाजवादी त्यागेर एमाले प्रवेश गरे भाइरल पुण्य गौतम भाइरल गौतमले पार्टी प्रवशे कार्यक्रममा नेपाली कांग्रेसबाट काठमाडौं महानगरमा मेयरकी उम्मेदवार सृजना सिंहको आलोचना गरेका छन् । आफूलाई सृजनाको कुकुरले टोेकेको र रेबिजविरुद्धको सुई लगाउन पनि बाँकी रहेको भन्दै गौतम कड्किए ।
1098,एकाध परिणामहरु लाई छोडेर हालसम्म प्राप्त स्थानीय चुनावका नतिजाहरु लाई हेर्दा यसपछि का चुनावहरु यस्तो हुने अनुमान गरौँ त ब्यभिचारीभ्रष्टाचारी र दम्भिले उम्मेदवारी नदिएभो जनताको पसिना खाएर जनतालाई नै धम्कि दिनेहरु काँसी गए भो पार्टीको आड्मा मार्ड खाएकाले नचिहाएनि भो
1099,पानीट्यान्की ले तेस्रो बरियाता नाघेर पोख्रेल लाई माथी पुर्याउदा तिमी कुम्भकर्ण जस्तै सुतेका थिएऔ बात गर्छौ एमाले तिर जाउ भलो होला
1100,पुस्तक सम्झनामा फक्रिएका थुँगाहरू लेखक रोचक घिमिरे विधा संस्मरणसङ्ग्रह यस पुस्तकका माध्यमबाट पाठकले नेपाली वाङ्मयलाई जीवन दिन आउने केही व्यक्तित्वको परिचय विभिन्न आयामबाट प्राप्त गर्नेछन्। प्रकाशकीय
1101,रोल्पाको माडीमा कार्यकर्ताबीच झडप कांग्रेसका वडाध्यक्ष उम्मेदवार डाँगी घाइते
1102,श्रीलंका आर्थिकराजनीतिक रूपमा त्यतिकै संकटमा पुगेको हाेईनराम्रो भन्दा हाम्रोर पारिवारिक राजनीतिले आर्थिक रूपमा ध्वस्त भएकाे हाे।नेपालकाे अवस्था पनि त्यस्तै हुने खतरामा छ। त्यसैले प्रचण्डदेउवानेपालओलीकाे पारिवारिक राजनीतिक बहिष्कृत गराैं। छाेराछाेरीबुहारी उम्मेदवार हराऔं।
1103,ओलीको आतंकी शासनका कारण गठबन्धन जन्मिएको हो प्रधानमन्त्री देउवा
1104,भलै आफुले भोट दिएको उमेदवार हारोस तर पनि आज यस्तो इमानदार कर्तव्यनिष्ठ गाउँ समाजको लागि काम गर्न सक्ने व्यक्तिलाई भोट दिउ कि भोलि गएर उसलाइ भोट दिएकोमा पछुतो नहोस् । नत्र फटहा नेतालाइ भोट दिएर अर्को पाँच साल पछुतोमा बित्नेछ । भोट दिनु पहिला जरुर सोच्नु होला सबैले ।
1105,तनहुँका दुई सय ८८ मतदान केन्द्रमा पुग्यो निर्वाचन सामग्री गणनास्थलमा घेराबार हुँदै
1106,३ करोड नेपाली जनताका नायक कामरेठ जन नायक पुन्य गौतम।
1107,वडाध्यक्ष पदमा उम्मेदारी दिने अनि भन्नेबेला चैँ ब्यबस्था बदलौं रे सालाहरु आफुलाइ मुन्छे होइन ब्यबस्था नै सम्झिन थालिसके क्या हो
1108,प्रदर्शनकारीले श्रीलंकामा सत्तारुढ दलका सांसदका घरमा आगो लगाए
1109,शेरवहादुर देउवा र उनको ग्यांङले काँग्रेसलाई भेन्टिलेटरमै पुर्याए
1110,काङ्ग्रेसले काङ्ग्रेस हराए माओवादीले माओवादी हराए एमालेले एमाले हराएराप्रपाले राप्रपा हराएसबैले अन्तर्घात गरेयो कुरा उम्मेद्बार र कार्यक्रताहरुले बुझ्न जरुरी छ । स्थानिय चुनाब मा यस्तो भयो भने ठाउको बिकास हुन्छ ।
1111,गठबन्धनकाे नाममा चितवनमा राज्य शक्त्तिकाे चरम दुरूपयाेग गर्दै कसैकाे छाेरी भएकै अाधारमायदि एउटा बाबुले मतदातालाई धम्काएरघुर्काएरचुटेरलुटेर डटेर फेरी मेयर घाेषणा गर्ने प्रपञ्च गर्दछ भने याे चितवन बासीकाे अपमान र त्याे ब्यक्ति राष्ट्रकै समस्या हाे भन्नेमा दुईमत छैन्।
1112,देउवा दाइ एकाबिहानै भाउजुको सुंघ्दै रछन।
1113,आउनुस दाजु देउवाका गलत कदमको खुलेर प्रतिरोध गर्ने क्षमता बनाउँ ताकी काङ्ग्रेस देउवाको कोठरी होइन भन्ने आम काङ्ग्रेसजनमा बिश्वास दिलाउँ । बिद्रोह गर्दा एक चुनाव हारिएला तर काङ्ग्रेस शुद्धिकरण भएर आउनेछ ।
1114,कलंकै कलंकको आहाल खेलेर आएकी रेनु मेयर होउन वा प्रधानमन्त्री तपाईं जस्तो निर्मल निष्कलंक व्यक्तिले तुलना गर्नु शोभायमान हुन्न तेस्ता रगतका धब्बा बोकेका बुबा तपाईं संग नहुनु भन्दा गौरव के हुन सक्छशुभरात्री
1115,यो देशको राजनीति प्रचण्ड मुक्तबनाउन सकियो भने देश शान्त र समृध्द बन्ने ढोका खुल्नेछ त्यसैले हँसिया हथौडामा भोट नहाले देश दुर्घटना जान्छ भन्ने प्रचण्डको धम्कीको अर्थ छैन प्रचण्डको राजनीतिक life line भारतरUSAहुन जनता होइन तसर्थ मुलुकको राजनीति प्रचण्ड मुक्त बनाउने अभियानमा लागौँ
1116,शुभ प्रभात भोट झापा बाटै हो
1117,माओवादीसँग मिल्ने ढ्वाँग फुटाउन लाउने कसले फुटायो भन्दा माओवादीले भनेर गठबन्धनको धज्जी उडाउने तिमी ठिक अनि एमाले अघि आउने बित्तिकै मतगणना रोकेर भित्र भित्र निर्वाचन अधिकृत देखि प्रहरी प्रशासन खल्तीमा राख्ने अनि ठूला कुरा गर्ने काँग्रेस कालै हो भाई जति नुहाए पनि ।
1118,जसरी ओलीले केक खान माओवादीसंग मिलेर पिठो संकलन गरेको थियो।त्यसरी नै ओलीको पिठो चोरेर यता केक खान यसो गरिएको हो।अस्तित्व न एमालेको रह्योन पांच दलकैयिनीहरूको हैसियत बालेन शाहलाई चोर ढोकाबाट उठाउने कांग्रेस र पांचदललाई हराउन खुला ढोकाबाट राप्रपालाई उचाल्ने एमाले एकै भए
1119,कांग्रेस स्थानीय निर्वाचन परिचालन समितिद्वारा सात वटा उपसमिति विस्तार
1120,नेपाली को सपना पनि कतिहो कति पैसा नभएको सपना
1121,खिच्चा र काईते राजनीति
1122,निर्वाचनको मुखमा हरेक साँझ विद्युत अबरुद्ध गरिन्छ। जनतालाई जरुरी खाना पकाउने ग्याँस समेत सरकारले उपलब्ध गराउन सक्दैन। फेरि यिनले आयोजना गरेको निर्वाचनमा भोट हालेर जनताले आफुलाई रेट्ने कसाही चुन्नु पर्ने रे
1123,बालेनले जिते म नेपाल छोड्ने घोषणा गर्छु।
1124,सप्तरीको पिपरामा एमाले र कांग्रेस कार्यकर्ताबीच झडप ७ जना घाइते
1125,निर्वाचन आयोगको कमजोरीले गर्दा हो । उसले समयमै अपडेट गर्दिदैन अनि जसलाई जे मन लाग्यो त्यही गर्छन् नि ।
1126,जतिसुकै दुर्गम ठाउँ किन नहोस मतपत्र समयमै पुग्छ तर पुस्तक र औषधी पुग्दैन अनि जहाँ पुस्तक पुग्दैन शिक्षा पुग्दैन त्यस्तो ठाउँबाट त्यस्तै जनप्रतिनिधि जित्छन जसले गर्दा त्यो ठाउँ दुर्गम नै हुन्छ ।
1127,स्थानीय तहको निर्वाचनअन्तर्गत कीर्तिपुर नगरपालिकाको प्रमुखमा नेपाली कांग्रेसका राजकुमार नकर्मीले छ हजार ८१० मत प्राप्त गरेका छन्।
1128,ओलीले स्थापित रोजे तर एमाले भोटरको मन कुँडियो।।
1129,थुक्क नेपालि हो भ्याक्सिन लगायौ कुम देखायौ भोट हाल्यौ औला देखायौ भोली पाइल्स भयो भने के देखाउछौ मुर्दार मुर्दार्नी हो
1130,भरतपुर महानगरमा कांग्रेस असन्तुष्ट पक्षबाट मेयरको उम्मेदवारी दर्ता
1131,जगन्नाथ तिमी हारेर पनि जित्ने मरेर पनि बाच्ने जिउदो बाघ भैसक्यौ नाथे चुनाव को के कुरा गर्नु र तैपनी ढुक्क हौ तिमी हार्दैनौ सुभकामना छ ।
1132,यसरी आएछ भन्ने मजाले लिनोस।हाम्रै पैसा झालझेल गरेर कमाकाहुन तर भोट चाहि सक्क्षम ईमानदारलाई दिनुहोस।
1133,हैन यी खड्ग प्रसादिय एमालेहरु को रगत मै भ्रष्ट्चारी लेखीएको छ कि क्याहो एमाले उमेदवार बिरुद्ध भ्रष्टचार को मुद्धा नेचासल्यान गाउँपालिका अध्यक्ष डुफकुमार बास्तोला विरुद्ध भ्रष्टाचाको मुद्धा अख्तियारमा Sagarmatha Online News Portal
1134,नेपाली जनता श्रीलंकाको जनता बन्न समय लाग्छ। नेपाली जनताले दुख भोग्न पुगेको छैन।
1135,सुकै ले जितोस मतलब छैन तर काठमाडौ मा स्थापित र भरतपुर मा रेनुले हार्नु पर्छ अनि मात्र थाहा हुनेछ कि नेपाली जनताले परिवर्तन चाहेकोछ बिकास चाहेको छ ।
1136,सुर्य मा भोट हाल्ने कम्युनिस्ट भाइबहिनी र उम्मेदवार त रुपैयाँको केरा जत्तिकै छन त
1137,म मेयर भएपछि दिदीबहिनीहरु घरमा बाध्य भएर काम गर्नु पर्दैन् सिर्जना सिंह
1138,श्रमिकको सङ्घर्षबाट परिवर्तन सम्भव भएको हो प्रधानमन्त्री देउवा
1139,निर्वाचन आयोगवाट मतगणनाको सीसीटीभी अनुगमन यसरी हुँदै रहेछ भिडियो प्रदीपराज वन्त
1140,मारेको हो। भोट को लागि क्षमता भन्दा बढी यात्रु कोचेर ल्याउने र लाने गरेसि दुर्घटना हुन्न त
1141,यस्ता ट्वाक्के र सिमा पारी बसेर नेपाली जनता लाई ढुङ्गा हाने चोर गधा खगेन्द्र नाम को पागल को कुरा पादे बराबर हो ।
1142,श्रीलङ्काका प्रधानमन्त्रीद्वारा राजीनामा
1143,रुकुम पश्चिममा चुनाव प्रचारप्रसारका क्रममा नेपाली कांग्रेस र नेकपा माओवादी केन्द्रका कार्यकर्ताबीच ढुंगा हानाहान भएको छ।
1144,महाविद्ध्वान खड्ग प्रसादलाई भोट दिने भनेको जोकरलाई जिताउने हो।
1145,बहालवाला प्रदेश मन्त्री संघ मन्त्री समेत राज्यको श्रोत को चरम दुरुपयोग हुदा निर्वाचन आयोग कता सुतेर बसेको रहेछ यदि कानुन सबैलाई लाग्ने हो भने उम्मेदवारी खारेज गर्न के ले छेक्यो
1146,आज वडा को घर दैलोमा आउनुभएको मेयर उमेदवार सृजना दिदी संग सुखद भेट भयो । परिपक्व शालीन र सक्षम यसपालीको मेयरमा भोट उहाँलाई विजयको अग्रिम शुभकामना
1147,चोर हो एमाले
1148,स्थापितलाई विस्थापित नगर्ने हाे जनता विपत्मा पर्नेछन् । यस्तालाई मेयर पदमा उठाउनु लज्जास्पद छ। यसलाई महानगरकाे चाहिँ हाेइन फटाहा नगरकाे मेयर बनाए हन्छ ।
1149,हो रछ यो लौरो ले भ्रष्टाचारि सेक्ने बुढा बुढी लाई टेक्ने तरुनी हरु लाई पडकाउने रछ। मेयर त पडकायो पडकायो उपमेयर पनि पडकाउछ भन्दै छन त के हो कुरो
1150,फण्डित ५५ करोडमा देउ बाले आईजिको पोष्ट बोचे भन्नि हल्ला छ त्यसमा बोल् न महङ्गीले हामीजस्ता सोमप्रसाद बाच्ने अवस्था छैन त्यसमा बोल न जाँठा बेरोजगारी छ नेपाली बिदेशी भुमिमा अपमान सहेर काम गर्न बाध्य छन् त्यो विषयमा बोल् खाली एकाङ्की भएर तातो न भुत्लोको बिषय उठाउने
1151,केशव स्थापित जस्तो नैतिक दुराचारी तथा प्रकाशमान दम्पत्ती जस्तो राजनीतिक दुराचारीलाई भोट हाल्ने अनि अर्को पांच वर्ष फेसबुकमा यो भएन उ भएन भनेर गनगन गर्नेलाई भेडा नभनेर के भन्ने
1152,विराटनगरका मेयर उम्मेदवारलाई हाम्रो प्रश्न डा शेखर कोइराला निकट भएकै कारण तपाईँले टिकट पाउनु भयो भनिन्छ हो
1153,भरतपुर महानगरमा रेणु यादव जिताउन सिंगो राज्य संयन्त्र धम्की पूर्ण भाषा सहित अनि एक जना जोक्कर पनि कम्मर कसेर लागिरहेका छन । त्यस्तै यता नवलपुरको देवचुली नगरपालिका जिताउन नेपालका एक मात्र फोर्ब्सको सूचिमा समाहित धनाढ्य पनि । धन्न यता चाँही देश दुर्घटनामा जाने चेतावनी आएको छैन ।
1154,कांग्रेस र एमाले कार्यकर्ताबीच झडप
1155,परिवर्तनको बाधक को बिगत २५ बर्षमा केशब स्थापितले पद र पैसाको लागि आधा दर्जन पार्टी र वाद परिवर्तन गरे।तर उनलाई २५ बर्ष अघि देखि मत हाल्ने झोले मतदाता चाहिँ सधैं सुर्यमा नै भोट हाल्दैछ। अनि परिवर्तनको बाधक नेता कि मतदाता
1156,नेपाली कांग्रेसको सभापतीले कारेकर्ता लाई इच्छा बिपरित भोट हाल लाउनु लोकतान्त्रिक गणतन्त्र समाप्त भयो । पाटी सभापति लाई कारबाही गर्नु ।
1157,पछिल्लो वर्षमा नेपालले भारतबाट करीब करोडको तास मात्रै खरिद गरेछ थुक्क जुवाडे नेपाली
1158,पाल्पामा कांग्रेस पत्तासाफ भन्दै एमाले कार्यकर्ताले नारा लाएपछि झडप दुई जना घाइते
1159,एमाले विगतको जस्तो छैन कांग्रेस महामन्त्री शर्मा
1160,राजनीति भन्दा अरु नलाग्ने यस्तै गरीब नेपाली लाई हो पार्टी को जयकार र झन्डा बोकेर हिड्न भन्दा यौटा मुठो घाँस काटे गाइले दुध बढाउछ
1161,दुइतिहाइ बहुमत तुहाएको तिमीहरुले तलुवा चाट्दै आएका माकुनेको कारणले हो। आफ्नो हुँदा खादाको घर भत्काएर कति हतारो भाको सत्तामा जानकोलागी प्रचण्ड र देउवा को लंगौंटी समात्न जाने तिमीहरू नै हौ। संबिधान बादको हत्या भन्दा १७००० को हत्याले भत्भती पोलेको हुनुपर्ने माउबादीका छाउरालाइ
1162,भोट घट्छ भनेर पेट्रोलको भाऊ नबढाका रछन। ए कांग्रेश
1163,सत्ता स्वार्थको निम्ति गठबन्धनको नाउमा आफ्ना कार्यकर्तालाई जबर्जस्ती कम्युनिस्टलाई भोट हाल्न लगाएको कांग्रेसले अबको ५ बर्ष पछि ती कम्युनिस्ट भइसकेका आफ्ना कार्यकर्तालाई फेरि के भनी कांग्रेसमा फर्काउला र उनीहरूलाई रुखमा भोट हाल्न अपिल गर्ला
